171.9691	1.2239e+03	0
32.7132	472.0949	0
116.1235	843.3116	0
45.4621	489.6179	0
126.7965	833.5709	0
29.9214	244.3527	0
191.5029	1.1607e+03	0
105.0146	892.7895	0
132.1439	1.0792e+03	0
35.7798	442.6445	0
97.8251	845.9188	0
108.5215	913.5334	0
175.7746	1.2825e+03	0
33.7664	455.9316	0
176.7475	1.1808e+03	0
173.5766	1.2679e+03	0
188.8663	1.1894e+03	0
161.7225	1.2303e+03	0
16.0562	208.4774	0
158.2081	1.1497e+03	0
120.3137	531.0568	1
140.3548	579.7880	1
129.9566	554.5181	1
72.8954	238.5036	1
58.3954	314.3296	1
173.7030	820.8710	1
29.8927	101.2062	1
64.2377	304.1382	1
185.0211	962.5390	1
4.7826	-139.7843	1
93.5469	558.4927	1
106.8286	534.9325	1
29.9217	78.2897	1
97.3478	448.6477	1
134.9115	562.9210	1
195.9580	1.1047e+03	1
99.6341	346.8559	1
0.5581	-38.5373	1
77.0432	373.0801	1
127.6837	635.6003	1
